profile_id,rent_room_id,score,timestamp
B00047,A02024,3,2018-01-01 00:26:48
B00059,A00454,4,2018-01-01 00:32:11
B00002,A03567,1,2018-01-01 00:40:51
B00024,A01091,3,2018-01-01 00:51:08
B00066,A01098,2,2018-01-01 01:05:49
B00065,A00724,2,2018-01-01 01:19:36
B00060,A03442,4,2018-01-01 01:33:49
B00036,A02169,2,2018-01-01 01:40:02
B00055,A01538,3,2018-01-01 01:44:53
B00095,A01578,5,2018-01-01 02:25:37
B00085,A02756,2,2018-01-01 02:40:08
B00037,A02953,2,2018-01-01 02:43:48
B00016,A01996,5,2018-01-01 02:50:24
B00048,A03411,1,2018-01-01 03:01:30
B00079,A00179,2,2018-01-01 03:06:25
B00034,A02867,1,2018-01-01 03:20:00
B00065,A01810,3,2018-01-01 03:21:39
B00060,A01718,3,2018-01-01 03:23:16
B00053,A00159,4,2018-01-01 03:24:13
B00040,A01503,1,2018-01-01 03:38:40
B00071,A00627,4,2018-01-01 03:42:47
B00040,A01723,5,2018-01-01 03:53:07
B00070,A01593,1,2018-01-01 03:58:04
B00050,A02995,5,2018-01-01 04:12:34
B00067,A00150,3,2018-01-01 04:32:30
B00028,A00556,2,2018-01-01 04:37:51
B00100,A03682,2,2018-01-01 04:49:44
B00004,A02051,2,2018-01-01 04:52:27
B00018,A02982,5,2018-01-01 04:56:43
B00069,A01822,2,2018-01-01 05:05:31
B00086,A03291,4,2018-01-01 05:26:29
B00081,A00622,3,2018-01-01 05:31:33
B00013,A03422,4,2018-01-01 05:37:58
B00030,A02233,3,2018-01-01 05:58:20
B00094,A02015,5,2018-01-01 05:58:47
B00032,A01470,5,2018-01-01 05:59:59
B00052,A02722,5,2018-01-01 06:23:03
B00024,A01400,5,2018-01-01 06:26:31
B00043,A01088,2,2018-01-01 06:41:46
B00042,A03253,2,2018-01-01 06:46:22
B00042,A02559,1,2018-01-01 07:13:49
B00079,A02474,4,2018-01-01 07:14:32
B00020,A00349,4,2018-01-01 07:15:00
B00023,A02928,1,2018-01-01 07:20:16
B00061,A03586,4,2018-01-01 07:26:40
B00065,A03260,1,2018-01-01 07:49:00
B00047,A03047,4,2018-01-01 08:09:57
B00055,A03001,2,2018-01-01 08:29:59
B00063,A01386,1,2018-01-01 08:39:55
B00037,A03697,1,2018-01-01 08:53:48
B00020,A02901,5,2018-01-01 08:57:15
B00027,A02645,3,2018-01-01 08:57:36
B00028,A01959,4,2018-01-01 09:04:13
B00008,A01740,2,2018-01-01 09:10:51
B00066,A02698,2,2018-01-01 09:11:58
B00024,A01951,2,2018-01-01 09:47:21
B00010,A02153,4,2018-01-01 09:48:10
B00099,A01198,5,2018-01-01 10:12:35
B00064,A02875,1,2018-01-01 10:13:38
B00082,A01009,1,2018-01-01 10:15:58
B00039,A03486,5,2018-01-01 10:22:03
B00042,A01240,5,2018-01-01 10:22:54
B00100,A01046,4,2018-01-01 10:24:18
B00069,A02670,5,2018-01-01 10:27:55
B00016,A02781,2,2018-01-01 11:28:29
B00055,A03787,1,2018-01-01 11:34:17
B00094,A03211,4,2018-01-01 11:48:48
B00023,A00559,2,2018-01-01 12:19:15
B00028,A00272,3,2018-01-01 12:22:45
B00025,A03066,3,2018-01-01 12:44:30
B00068,A03413,5,2018-01-01 13:29:44
B00094,A02650,4,2018-01-01 13:40:19
B00016,A00487,5,2018-01-01 14:00:45
B00017,A00763,4,2018-01-01 14:01:31
B00020,A00039,3,2018-01-01 14:06:23
B00060,A00835,1,2018-01-01 14:14:07
B00019,A03167,1,2018-01-01 14:15:45
B00078,A02883,5,2018-01-01 14:23:45
B00095,A03457,5,2018-01-01 14:39:34
B00028,A01412,5,2018-01-01 14:46:10
B00085,A00491,5,2018-01-01 15:18:42
B00097,A00757,1,2018-01-01 15:27:53
B00050,A02294,3,2018-01-01 15:38:23
B00088,A03585,1,2018-01-01 16:28:40
B00087,A00003,4,2018-01-01 16:51:05
B00099,A03199,2,2018-01-01 16:59:22
B00044,A03571,3,2018-01-01 17:17:11
B00095,A01578,4,2018-01-01 17:25:37
B00100,A01222,3,2018-01-01 17:55:27
B00028,A01526,5,2018-01-01 17:56:54
B00069,A03557,1,2018-01-01 18:21:51
B00005,A01467,1,2018-01-01 18:23:14
B00098,A01446,4,2018-01-01 18:24:06
B00064,A00324,2,2018-01-01 18:26:18
B00002,A01790,4,2018-01-01 18:29:41
B00008,A03496,3,2018-01-01 18:40:57
B00061,A01778,5,2018-01-01 18:44:07
B00047,A02097,1,2018-01-01 18:49:07
B00001,A01629,2,2018-01-01 19:18:13
B00050,A01967,5,2018-01-01 19:27:20
B00044,A01248,3,2018-01-01 19:37:27
B00006,A03353,3,2018-01-01 19:46:47
B00090,A01298,3,2018-01-01 19:58:24
B00082,A03137,1,2018-01-01 20:00:40
B00048,A03516,2,2018-01-01 20:04:48
B00065,A01286,3,2018-01-01 20:09:10
B00098,A02528,1,2018-01-01 20:11:13
B00037,A03365,4,2018-01-01 20:13:54
B00026,A02195,3,2018-01-01 20:15:02
B00016,A00317,4,2018-01-01 20:29:13
B00062,A00150,1,2018-01-01 20:35:02
B00065,A03381,3,2018-01-01 20:39:38
B00079,A02734,1,2018-01-01 20:47:12
B00041,A01959,2,2018-01-01 20:59:30
B00022,A01678,5,2018-01-01 21:04:05
B00080,A00390,3,2018-01-01 21:23:07
B00049,A03156,2,2018-01-01 21:45:50
B00093,A02927,3,2018-01-01 21:48:39
B00069,A03490,5,2018-01-01 21:58:24
B00034,A02341,4,2018-01-01 22:23:04
B00065,A01015,1,2018-01-01 22:47:05
B00041,A01260,4,2018-01-01 22:48:02
B00076,A01063,3,2018-01-01 23:19:13
B00097,A00128,3,2018-01-01 23:26:23
B00064,A01972,2,2018-01-02 00:00:37
B00049,A01320,4,2018-01-02 00:07:16
B00100,A02725,4,2018-01-02 00:21:36
B00037,A00100,5,2018-01-02 00:23:01
B00002,A01718,4,2018-01-02 00:33:44
B00055,A01960,5,2018-01-02 00:42:34
B00084,A00729,5,2018-01-02 00:54:11
B00052,A00587,1,2018-01-02 00:58:30
B00048,A00478,4,2018-01-02 01:41:29
B00044,A01331,4,2018-01-02 01:41:47
B00007,A03398,3,2018-01-02 01:48:19
B00048,A03330,3,2018-01-02 02:29:11
B00023,A02720,1,2018-01-02 02:43:59
B00045,A03132,5,2018-01-02 02:46:03
B00011,A01526,4,2018-01-02 02:52:06
B00034,A00040,1,2018-01-02 02:53:05
B00055,A03634,2,2018-01-02 02:53:33
B00086,A02610,2,2018-01-02 03:13:56
B00097,A01445,3,2018-01-02 03:36:30
B00047,A00261,1,2018-01-02 03:54:07
B00082,A01741,1,2018-01-02 03:55:33
B00093,A01287,2,2018-01-02 04:16:10
B00064,A00083,1,2018-01-02 04:41:05
B00012,A03163,5,2018-01-02 04:54:35
B00027,A03680,4,2018-01-02 04:56:18
B00073,A02393,2,2018-01-02 05:11:32
B00007,A02082,1,2018-01-02 05:19:34
B00066,A00444,5,2018-01-02 05:21:14
B00047,A01224,1,2018-01-02 05:23:55
B00094,A00383,1,2018-01-02 05:33:56
B00022,A02672,5,2018-01-02 05:40:26
B00082,A01228,3,2018-01-02 05:53:52
